Run,Result
Run 1 (R=15) Recall-> 98.12%,Time-> 1.08 minutes
Run 1 (R=16) Recall-> 98.38%,Time-> 1.15 minutes
Run 1 (R=17) Recall-> 98.62%,Time-> 1.17 minutes
Run 1 (R=18) Recall-> 98.73%,Time-> 1.20 minutes
Run 1 (R=19) Recall-> 98.86%,Time-> 1.25 minutes
Run 1 (R=20) Recall-> 99.18%,Time-> 1.27 minutes
Run 1 (R=21) Recall-> 99.30%,Time-> 1.32 minutes
Run 1 (R=22) Recall-> 99.43%,Time-> 1.35 minutes
Run 1 (R=23) Recall-> 99.44%,Time-> 1.38 minutes
Run 1 (R=24) Recall-> 99.45%,Time-> 1.40 minutes
Run 1 (R=25) Recall-> 99.61%,Time-> 1.43 minutes
Run 1 (R=26) Recall-> 99.63%,Time-> 1.45 minutes
Run 1 (R=27) Recall-> 99.64%,Time-> 1.45 minutes
Run 1 (R=28) Recall-> 99.67%,Time-> 1.50 minutes
Run 1 (R=29) Recall-> 99.67%,Time-> 1.52 minutes
Run 1 (R=30) Recall-> 99.75%,Time-> 1.50 minutes
Run 1 (R=31) Recall-> 99.73%,Time-> 1.53 minutes
Run 1 (R=32) Recall-> 99.75%,Time-> 1.53 minutes
Run 1 (R=33) Recall-> 99.83%,Time-> 1.55 minutes
Run 1 (R=34) Recall-> 99.87%,Time-> 1.57 minutes
Run 1 (R=35) Recall-> 99.85%,Time-> 1.57 minutes
Run 1 (R=36) Recall-> 99.81%,Time-> 1.57 minutes
Run 1 (R=37) Recall-> 99.83%,Time-> 1.57 minutes
Run 1 (R=38) Recall-> 99.81%,Time-> 1.55 minutes
Run 1 (R=39) Recall-> 99.83%,Time-> 1.55 minutes
Run 1 (R=40) Recall-> 99.86%,Time-> 1.57 minutes
Run 1 (R=41) Recall-> 99.85%,Time-> 1.55 minutes
Run 1 (R=42) Recall-> 99.85%,Time-> 1.53 minutes
Run 1 (R=43) Recall-> 99.79%,Time-> 1.53 minutes
Run 1 (R=44) Recall-> 99.88%,Time-> 1.55 minutes
Run 1 (R=45) Recall-> 99.90%,Time-> 1.57 minutes
Run 1 (R=46) Recall-> 99.84%,Time-> 1.57 minutes
Run 1 (R=47) Recall-> 99.88%,Time-> 1.55 minutes
Run 1 (R=48) Recall-> 99.91%,Time-> 1.57 minutes
Run 1 (R=49) Recall-> 99.90%,Time-> 1.58 minutes
Run 1 (R=50) Recall-> 99.92%,Time-> 1.58 minutes
Run 1 (R=51) Recall-> 99.90%,Time-> 1.58 minutes
Run 1 (R=52) Recall-> 99.91%,Time-> 1.57 minutes
Run 1 (R=53) Recall-> 99.91%,Time-> 1.58 minutes
Run 1 (R=54) Recall-> 99.85%,Time-> 1.57 minutes
Run 1 (R=55) Recall-> 99.92%,Time-> 1.57 minutes
Run 1 (R=56) Recall-> 99.88%,Time-> 1.58 minutes
Run 1 (R=57) Recall-> 99.92%,Time-> 1.57 minutes
Run 1 (R=58) Recall-> 99.92%,Time-> 1.58 minutes
Run 1 (R=59) Recall-> 99.87%,Time-> 1.58 minutes
Run 1 (R=60) Recall-> 99.94%,Time-> 1.55 minutes
Run 1 (R=61) Recall-> 99.92%,Time-> 1.58 minutes
Run 1 (R=62) Recall-> 99.90%,Time-> 1.58 minutes
Run 1 (R=63) Recall-> 99.87%,Time-> 1.58 minutes
Run 1 (R=64) Recall-> 99.91%,Time-> 1.62 minutes
Run 1 (R=65) Recall-> 99.92%,Time-> 1.60 minutes
Run 1 (R=66) Recall-> 99.90%,Time-> 1.58 minutes
Run 1 (R=67) Recall-> 99.92%,Time-> 1.60 minutes
Run 1 (R=68) Recall-> 99.92%,Time-> 1.58 minutes
Run 1 (R=69) Recall-> 99.89%,Time-> 1.60 minutes
Run 1 (R=70) Recall-> 99.90%,Time-> 1.60 minutes
Run 1 (R=71) Recall-> 99.90%,Time-> 1.60 minutes
Run 1 (R=72) Recall-> 99.92%,Time-> 1.63 minutes
Run 1 (R=73) Recall-> 99.91%,Time-> 1.62 minutes
Run 1 (R=74) Recall-> 99.89%,Time-> 1.60 minutes
Run 1 (R=75) Recall-> 99.90%,Time-> 1.62 minutes
Run 1 (R=76) Recall-> 99.87%,Time-> 1.63 minutes
Run 1 (R=77) Recall-> 99.90%,Time-> 1.62 minutes
Run 1 (R=78) Recall-> 99.90%,Time-> 1.65 minutes
Run 1 (R=79) Recall-> 99.89%,Time-> 1.62 minutes
Run 1 (R=80) Recall-> 99.90%,Time-> 1.60 minutes
Run 1 (R=81) Recall-> 99.92%,Time-> 1.63 minutes
Run 1 (R=82) Recall-> 99.90%,Time-> 1.63 minutes
Run 1 (R=83) Recall-> 99.89%,Time-> 1.67 minutes
Run 1 (R=84) Recall-> 99.92%,Time-> 1.63 minutes
Run 1 (R=85) Recall-> 99.91%,Time-> 1.63 minutes
Run 1 (R=86) Recall-> 99.94%,Time-> 1.63 minutes
Run 1 (R=87) Recall-> 99.87%,Time-> 1.60 minutes
Run 1 (R=88) Recall-> 99.89%,Time-> 1.62 minutes
Run 1 (R=89) Recall-> 99.90%,Time-> 1.62 minutes
Run 1 (R=90) Recall-> 99.93%,Time-> 1.65 minutes
Run 1 (R=91) Recall-> 99.90%,Time-> 1.65 minutes
Run 1 (R=92) Recall-> 99.91%,Time-> 1.67 minutes
Run 1 (R=93) Recall-> 99.93%,Time-> 1.68 minutes
Run 1 (R=94) Recall-> 99.85%,Time-> 1.68 minutes
Run 1 (R=95) Recall-> 99.93%,Time-> 1.68 minutes
Run 1 (R=96) Recall-> 99.91%,Time-> 1.68 minutes
Run 1 (R=97) Recall-> 99.93%,Time-> 1.67 minutes
Run 1 (R=98) Recall-> 99.90%,Time-> 1.68 minutes
Run 1 (R=99) Recall-> 99.89%,Time-> 1.70 minutes
Average Recall-> 99.76%,Average Time-> 1.55 minutes
