Run,Result
Run 1 (R=15) Recall-> 95.94%,Time-> 0.55 minutes
Run 1 (R=16) Recall-> 96.26%,Time-> 0.57 minutes
Run 1 (R=17) Recall-> 96.77%,Time-> 0.58 minutes
Run 1 (R=18) Recall-> 96.92%,Time-> 0.60 minutes
Run 1 (R=19) Recall-> 97.28%,Time-> 0.63 minutes
Run 1 (R=20) Recall-> 97.38%,Time-> 0.65 minutes
Run 1 (R=21) Recall-> 97.45%,Time-> 0.67 minutes
Run 1 (R=22) Recall-> 97.58%,Time-> 0.67 minutes
Run 1 (R=23) Recall-> 98.23%,Time-> 0.68 minutes
Run 1 (R=24) Recall-> 97.85%,Time-> 0.70 minutes
Run 1 (R=25) Recall-> 98.06%,Time-> 0.72 minutes
Run 1 (R=26) Recall-> 98.06%,Time-> 0.72 minutes
Run 1 (R=27) Recall-> 98.15%,Time-> 0.73 minutes
Run 1 (R=28) Recall-> 98.30%,Time-> 0.75 minutes
Run 1 (R=29) Recall-> 98.11%,Time-> 0.75 minutes
Run 1 (R=30) Recall-> 98.38%,Time-> 0.75 minutes
Run 1 (R=31) Recall-> 98.60%,Time-> 0.77 minutes
Run 1 (R=32) Recall-> 98.51%,Time-> 0.78 minutes
Run 1 (R=33) Recall-> 98.68%,Time-> 0.77 minutes
Run 1 (R=34) Recall-> 98.55%,Time-> 0.77 minutes
Run 1 (R=35) Recall-> 98.57%,Time-> 0.78 minutes
Run 1 (R=36) Recall-> 98.58%,Time-> 0.78 minutes
Run 1 (R=37) Recall-> 98.42%,Time-> 0.78 minutes
Run 1 (R=38) Recall-> 98.57%,Time-> 0.78 minutes
Run 1 (R=39) Recall-> 98.66%,Time-> 0.78 minutes
Run 1 (R=40) Recall-> 98.79%,Time-> 0.80 minutes
Run 1 (R=41) Recall-> 98.68%,Time-> 0.80 minutes
Run 1 (R=42) Recall-> 98.79%,Time-> 0.80 minutes
Run 1 (R=43) Recall-> 98.91%,Time-> 0.80 minutes
Run 1 (R=44) Recall-> 98.83%,Time-> 0.80 minutes
Run 1 (R=45) Recall-> 98.72%,Time-> 0.80 minutes
Run 1 (R=46) Recall-> 98.94%,Time-> 0.82 minutes
Run 1 (R=47) Recall-> 98.81%,Time-> 0.82 minutes
Run 1 (R=48) Recall-> 98.74%,Time-> 0.82 minutes
Run 1 (R=49) Recall-> 98.79%,Time-> 0.82 minutes
Run 1 (R=50) Recall-> 98.89%,Time-> 0.82 minutes
Run 1 (R=51) Recall-> 98.74%,Time-> 0.82 minutes
Run 1 (R=52) Recall-> 98.79%,Time-> 0.82 minutes
Run 1 (R=53) Recall-> 98.81%,Time-> 0.82 minutes
Run 1 (R=54) Recall-> 99.02%,Time-> 0.83 minutes
Run 1 (R=55) Recall-> 99.09%,Time-> 0.83 minutes
Run 1 (R=56) Recall-> 99.08%,Time-> 0.83 minutes
Run 1 (R=57) Recall-> 99.06%,Time-> 0.83 minutes
Run 1 (R=58) Recall-> 99.04%,Time-> 0.83 minutes
Run 1 (R=59) Recall-> 99.13%,Time-> 0.83 minutes
Run 1 (R=60) Recall-> 98.89%,Time-> 0.85 minutes
Run 1 (R=61) Recall-> 99.04%,Time-> 0.87 minutes
Run 1 (R=62) Recall-> 98.96%,Time-> 0.85 minutes
Run 1 (R=63) Recall-> 99.13%,Time-> 0.85 minutes
Run 1 (R=64) Recall-> 99.17%,Time-> 0.85 minutes
Run 1 (R=65) Recall-> 99.11%,Time-> 0.85 minutes
Run 1 (R=66) Recall-> 99.09%,Time-> 0.87 minutes
Run 1 (R=67) Recall-> 99.21%,Time-> 0.85 minutes
Run 1 (R=68) Recall-> 98.91%,Time-> 0.85 minutes
Run 1 (R=69) Recall-> 98.91%,Time-> 0.85 minutes
Run 1 (R=70) Recall-> 99.15%,Time-> 0.85 minutes
Run 1 (R=71) Recall-> 99.09%,Time-> 0.87 minutes
Run 1 (R=72) Recall-> 99.13%,Time-> 0.87 minutes
Run 1 (R=73) Recall-> 99.13%,Time-> 0.87 minutes
Run 1 (R=74) Recall-> 98.94%,Time-> 0.87 minutes
Run 1 (R=75) Recall-> 99.17%,Time-> 0.87 minutes
Run 1 (R=76) Recall-> 99.09%,Time-> 0.87 minutes
Run 1 (R=77) Recall-> 99.06%,Time-> 0.87 minutes
Run 1 (R=79) Recall-> 99.38%,Time-> 0.87 minutes
Run 1 (R=79) Recall-> 99.38%,Time-> 0.87 minutes
Run 1 (R=80) Recall-> 99.09%,Time-> 0.87 minutes
Run 1 (R=81) Recall-> 99.15%,Time-> 0.87 minutes
Run 1 (R=82) Recall-> 99.21%,Time-> 0.87 minutes
Run 1 (R=83) Recall-> 99.06%,Time-> 0.87 minutes
Run 1 (R=84) Recall-> 99.02%,Time-> 0.87 minutes
Run 1 (R=85) Recall-> 99.17%,Time-> 0.88 minutes
Run 1 (R=86) Recall-> 99.08%,Time-> 0.87 minutes
Run 1 (R=87) Recall-> 99.19%,Time-> 0.88 minutes
Run 1 (R=88) Recall-> 99.23%,Time-> 0.88 minutes
Run 1 (R=89) Recall-> 99.11%,Time-> 0.88 minutes
Run 1 (R=90) Recall-> 99.23%,Time-> 0.88 minutes
Run 1 (R=91) Recall-> 99.15%,Time-> 0.88 minutes
Run 1 (R=92) Recall-> 99.09%,Time-> 0.88 minutes
Run 1 (R=93) Recall-> 99.02%,Time-> 0.88 minutes
Run 1 (R=94) Recall-> 99.11%,Time-> 0.88 minutes
Run 1 (R=95) Recall-> 99.08%,Time-> 0.88 minutes
Run 1 (R=96) Recall-> 99.17%,Time-> 0.88 minutes
Run 1 (R=97) Recall-> 99.09%,Time-> 0.88 minutes
Run 1 (R=98) Missing Data,Missing Data
Run 1 (R=99) Recall-> 99.11%,Time-> 0.88 minutes
Average Recall-> 98.70%,Average Time-> 0.81 minutes
