Run,Result
Run 1 Recall-> 98.16%,Time-> 1.03 minutes
Run 2 Recall-> 97.95%,Time-> 1.05 minutes
Run 3 Missing Data,Missing Data
Run 4 Recall-> 97.93%,Time-> 1.00 minutes
Run 5 Recall-> 98.10%,Time-> 1.05 minutes
Run 6 Recall-> 98.17%,Time-> 1.07 minutes
Run 7 Recall-> 98.28%,Time-> 1.05 minutes
Run 8 Recall-> 97.91%,Time-> 1.03 minutes
Run 9 Recall-> 97.95%,Time-> 1.05 minutes
Run 10 Recall-> 98.06%,Time-> 1.07 minutes
Run 11 Missing Data,Missing Data
Run 12 Recall-> 97.99%,Time-> 1.05 minutes
Run 13 Recall-> 97.96%,Time-> 1.07 minutes
Run 14 Recall-> 97.95%,Time-> 1.00 minutes
Run 15 Recall-> 97.97%,Time-> 1.05 minutes
Run 16 Recall-> 97.86%,Time-> 1.03 minutes
Run 17 Recall-> 98.04%,Time-> 1.00 minutes
Run 18 Recall-> 98.15%,Time-> 1.08 minutes
Run 19 Recall-> 97.97%,Time-> 1.05 minutes
Run 20 Recall-> 98.09%,Time-> 1.07 minutes
Run 21 Recall-> 98.18%,Time-> 1.03 minutes
Run 22 Recall-> 98.02%,Time-> 1.03 minutes
Run 23 Recall-> 98.05%,Time-> 1.07 minutes
Run 24 Missing Data,Missing Data
Run 25 Recall-> 98.01%,Time-> 1.05 minutes
Run 26 Missing Data,Missing Data
Run 27 Recall-> 97.90%,Time-> 1.05 minutes
Run 28 Recall-> 98.07%,Time-> 1.03 minutes
Run 29 Recall-> 97.96%,Time-> 1.05 minutes
Run 30 Recall-> 97.98%,Time-> 1.02 minutes
Run 31 Recall-> 97.77%,Time-> 1.03 minutes
Run 32 Recall-> 98.15%,Time-> 1.02 minutes
Run 33 Recall-> 98.12%,Time-> 1.03 minutes
Run 34 Recall-> 97.99%,Time-> 1.00 minutes
Run 35 Recall-> 98.08%,Time-> 1.00 minutes
Run 36 Recall-> 98.02%,Time-> 1.00 minutes
Run 37 Recall-> 98.04%,Time-> 1.05 minutes
Run 38 Recall-> 98.13%,Time-> 1.03 minutes
Run 39 Recall-> 98.10%,Time-> 1.05 minutes
Run 40 Missing Data,Missing Data
Run 41 Recall-> 97.90%,Time-> 1.07 minutes
Run 42 Recall-> 97.94%,Time-> 1.02 minutes
Run 43 Recall-> 98.14%,Time-> 1.00 minutes
Run 44 Recall-> 98.02%,Time-> 1.05 minutes
Run 45 Recall-> 97.89%,Time-> 1.05 minutes
Run 46 Recall-> 98.13%,Time-> 1.03 minutes
Run 47 Recall-> 97.97%,Time-> 1.02 minutes
Run 48 Recall-> 97.92%,Time-> 1.03 minutes
Run 49 Recall-> 97.97%,Time-> 1.02 minutes
Run 50 Recall-> 98.15%,Time-> 1.05 minutes
Run 51 Recall-> 97.94%,Time-> 1.03 minutes
Run 52 Recall-> 97.94%,Time-> 1.05 minutes
Run 53 Recall-> 98.04%,Time-> 1.07 minutes
Run 54 Recall-> 97.96%,Time-> 1.00 minutes
Run 55 Recall-> 97.99%,Time-> 1.02 minutes
Run 56 Recall-> 98.07%,Time-> 1.05 minutes
Run 57 Recall-> 97.92%,Time-> 1.02 minutes
Run 58 Recall-> 98.10%,Time-> 1.00 minutes
Run 59 Recall-> 98.17%,Time-> 1.03 minutes
Run 60 Recall-> 97.90%,Time-> 1.07 minutes
Run 61 Recall-> 98.22%,Time-> 1.02 minutes
Run 62 Recall-> 98.20%,Time-> 1.05 minutes
Run 63 Recall-> 97.95%,Time-> 1.03 minutes
Run 64 Recall-> 98.19%,Time-> 1.02 minutes
Run 65 Recall-> 98.02%,Time-> 1.07 minutes
Run 66 Recall-> 98.17%,Time-> 1.07 minutes
Run 67 Recall-> 97.94%,Time-> 1.05 minutes
Run 68 Recall-> 97.87%,Time-> 1.00 minutes
Run 69 Recall-> 97.97%,Time-> 1.03 minutes
Run 70 Recall-> 98.07%,Time-> 1.02 minutes
Run 71 Recall-> 98.07%,Time-> 1.00 minutes
Run 72 Recall-> 97.91%,Time-> 1.05 minutes
Run 73 Recall-> 98.02%,Time-> 1.02 minutes
Run 74 Recall-> 97.93%,Time-> 1.05 minutes
Run 75 Recall-> 97.87%,Time-> 1.02 minutes
Run 76 Recall-> 98.03%,Time-> 1.07 minutes
Run 77 Recall-> 98.13%,Time-> 1.05 minutes
Run 78 Recall-> 98.24%,Time-> 1.05 minutes
Run 79 Recall-> 98.02%,Time-> 1.03 minutes
Run 80 Recall-> 98.02%,Time-> 1.03 minutes
Run 81 Recall-> 98.18%,Time-> 1.03 minutes
Run 82 Recall-> 98.04%,Time-> 1.00 minutes
Run 83 Recall-> 98.03%,Time-> 1.00 minutes
Run 84 Recall-> 98.02%,Time-> 1.03 minutes
Run 85 Recall-> 98.02%,Time-> 1.05 minutes
Run 86 Recall-> 98.05%,Time-> 1.05 minutes
Run 87 Recall-> 97.92%,Time-> 1.02 minutes
Run 88 Recall-> 98.08%,Time-> 1.03 minutes
Run 89 Recall-> 97.95%,Time-> 1.05 minutes
Run 90 Recall-> 97.81%,Time-> 1.03 minutes
Run 91 Recall-> 97.93%,Time-> 1.00 minutes
Run 92 Recall-> 97.99%,Time-> 1.02 minutes
Run 93 Recall-> 98.09%,Time-> 1.07 minutes
Run 94 Recall-> 98.13%,Time-> 1.02 minutes
Run 95 Recall-> 97.96%,Time-> 1.02 minutes
Run 96 Recall-> 97.90%,Time-> 1.00 minutes
Run 97 Recall-> 98.03%,Time-> 1.05 minutes
Run 98 Recall-> 98.06%,Time-> 1.03 minutes
Run 99 Recall-> 97.96%,Time-> 1.03 minutes
Run 100 Recall-> 98.14%,Time-> 1.03 minutes
Run 101 Recall-> 97.97%,Time-> 1.07 minutes
Run 102 Recall-> 97.96%,Time-> 1.02 minutes
Run 103 Recall-> 97.92%,Time-> 1.03 minutes
Run 104 Recall-> 98.15%,Time-> 1.02 minutes
Run 105 Recall-> 98.17%,Time-> 1.07 minutes
Run 106 Recall-> 98.03%,Time-> 1.03 minutes
Run 107 Recall-> 98.19%,Time-> 1.03 minutes
Run 108 Recall-> 97.97%,Time-> 1.05 minutes
Run 109 Missing Data,Missing Data
Run 110 Recall-> 97.90%,Time-> 1.05 minutes
Run 111 Missing Data,Missing Data
Run 112 Recall-> 98.23%,Time-> 1.03 minutes
Run 113 Recall-> 97.95%,Time-> 1.07 minutes
Run 114 Recall-> 98.12%,Time-> 1.07 minutes
Run 115 Recall-> 98.11%,Time-> 1.05 minutes
Run 116 Recall-> 97.99%,Time-> 1.03 minutes
Run 117 Recall-> 97.71%,Time-> 1.05 minutes
